1. Time	Die Zeit	Die Zeiten
720. Tank	Der Panzer	Die Panzer 
721. Staff	Das Personal	- 
722. Lie	Die Lüge	Die Lügen 
723. Faith	Der Glaube	- 
724. Honor	Die Ehre	- 
725. Cream	Die Sahne	- 
726. Sake	Der Grund	- 
727. Victim	Das Opfer	Die Opfer 
728. Possibility	Die Möglichkeit	Die Möglichkeiten 
729. Contact	Der Kontakt	Die Kontakte 
730. Mood	Die Stimmung	Die Stimmungen 
731. Thumb	Der Daumen	Die Daumen 
732. Reading	Das Lesen	- 
733. Fun	Der Spaß	- 
734. Candle	Die Kerze	Die Kerzen 
735. Cave	Die Höhle	Die Höhlen 
736. Post	Die Post	- 
737. Prison	Das Gefängnis	Die Gefängnisse 
738. Emotion	Die Emotion	Die Emotionen 
739. Leader	Der Führer	Die Führer 
740. Degree	Der Abschluss	Die Abschlüsse 
741. Feature	Das Merkmal	Die Merkmale 
742. Ticket	Die Eintrittskarte	Die Eintrittskarten 
743. Alien	Das Alien	Die Aliens 
744. Lesson	Die Lektion	Die Lektionen 
745. Desert	Die Wüste	Die Wüsten 
746. Cut	Der Schnitt	Die Schnitte 
747. Mess	Das Durcheinander	- 
748. Warning	Die Warnung	Die Warnungen 
749. Tale	Das Märchen	Die Märchen 
750. Funeral	Die Beerdigung	Die Beerdigungen 
751. Cab	Das Taxi	Die Taxis 
752. Reporter	Der Reporter	Die Reporter 
753. Present	Das Geschenk	Die Geschenke 
754. Theater	Das Theater	Die Theater 
755. Length	Die Länge	- 
756. Mud	Der Schlamm	- 
757. Science	Die Wissenschaft	- 
758. Drop	Der Tropfen	Die Tropfen 
759. String	Die Schnur	Die Schnüre 
760. Speech	Die Rede	Die Reden 
761. Copy	Das Exemplar	Die Exemplare 
762. Cow	Die Kuh	Die Kühe 
763. Worker	Der Arbeiter	Die Arbeiter 
764. Thigh	Der Oberschenkel	Die Oberschenkel 
765. Lab	Das Labor	Die Labore 
766. Roll	Die Rolle	Die Rollen 
767. Fruit	Die Frucht	Die Früchte 
768. Patch	Das Patch	Die Patches 
769. Silk	Die Seide	- 
770. Buck	Der Dollar	Die Dollars 
771. Brick	Der Ziegel	Die Ziegel 
772. Rifle	Das Gewehr	Die Gewehre 
773. Career	Die Karriere	Die Karrieren 
774. Issue	Die Ausgabe	Die Ausgaben 
775. Opportunity	Die Gelegenheit	Die Gelegenheiten 
776. Director	Der Regisseur	Die Regisseure 
777. Monster	Das Monster	Die Monster 
778. Vehicle	Das Fahrzeug	Die Fahrzeuge 
779. Alley	Die Gasse	Die Gassen 
780. Sleeve	Der Ärmel	Die Ärmel 
781. Grave	Das Grab	Die Gräber 
782. Bush	Der Busch	Die Büsche 
783. Dining	Das Esszimmer	- 
784. Opening	Die Öffnung	Die Öffnungen 
785. Twin	Das Zwilling	Die Zwillinge 
786. Barn	Die Scheune	Die Scheunen 
787. Pound	Das Pfund	Die Pfunde 
788. Site	Die Seite	Die Seiten 
789. Flash	Der Blitz	Die Blitze 
790. Judge	Der Richter	Die Richter 
791. Mass	Die Masse	Die Massen 
792. Process	Der Prozess	Die Prozesse 
793. Tie	Die Krawatte	Die Krawatten 
794. Purse	Die Geldbörse	Die Geldbörsen 
795. Pipe	Die Pfeife	Die Pfeifen 
796. Dragon	Der Drache	Die Drachen 
797. Horizon	Der Horizont	Die Horizonte 
798. Tray	Das Tablett	Die Tabletts 
799. Envelope	Der Umschlag	Die Umschläge 
800. Check	Der Scheck	Die Schecks 
801. Adult	Der Erwachsene	Die Erwachsenen 
802. Emergency	Der Notfall	Die Notfälle 
803. Material	Das Material	Die Materialien 
804. Childhood	Die Kindheit	- 
805. Habit	Die Gewohnheit	Die Gewohnheiten 
806. Artist	Der Künstler	Die Künstler 
807. Address	Die Adresse	Die Adressen 
808. Scent	Der Duft	Die Düfte 
809. Universe	Das Universum	Die Universen 
810. Nod	Das Nicken	- 
811. Shell	Die Muschel	Die Muscheln 
812. Community	Die Gemeinschaft	Die Gemeinschaften 
813. Start	Der Start	Die Starts 
814. Wound	Die Wunde	Die Wunden 
815. Mouse	Die Maus	Die Mäuse 
816. Pilot	Der Pilot	Die Piloten 
817. Grade	Die Note	Die Noten 
818. Video	Das Video	Die Videos 
819. Basket	Der Korb	Die Körbe 
820. Wagon	Der Waggon	Die Waggons 
821. Attempt	Der Versuch	Die Versuche 
822. Sofa	Das Sofa	Die Sofas 
823. Cake	Der Kuchen	Die Kuchen 
824. Fellow	Der Kerl	Die Kerle 
825. Affair	Die Angelegenheit	Die Angelegenheiten 
826. Shore	Die Küste	Die Küsten 
827. General	Der General	Die Generäle 
828. Root	Die Wurzel	Die Wurzeln 
829. Robe	Der Umhang	Die Umhänge 
830. Concern	Die Sorge	Die Sorgen 
831. Press	Die Presse	- 
832. Rat	Die Ratte	Die Ratten 
833. Society	Die Gesellschaft	Die Gesellschaften 
834. Style	Der Stil	Die Stile 
835. County	Der Bezirk	Die Bezirke 
836. Command	Der Befehl	Die Befehle 
837. Visitor	Der Besucher	Die Besucher 
838. Model	Das Modell	Die Modelle 
839. Chamber	Die Kammer	Die Kammern 
840. Beast	Das Tier	Die Tiere 
841. Bunch	Der Strauß	Die Sträuße 
842. Background	Der Hintergrund	Die Hintergründe 
843. Unit	Die Einheit	Die Einheiten 
844. Furniture	Das Möbel	Die Möbel 
845. Nail	Der Nagel	Die Nägel 
846. Scream	Der Schrei	Die Schreie 
847. Property	Das Eigentum	- 
848. Equipment	Die Ausrüstung	- 
849. Driveway	Die Auffahrt	Die Auffahrten 
850. Grip	Der Griff	Die Griffe 
851. Tube	Die Röhre	Die Röhren 
852. Ash	Die Asche	Die Aschen 
853. Fan	Der Ventilator	Die Ventilatoren 
854. Opinion	Die Meinung	Die Meinungen 
855. Data	Die Daten	- 
856. Connection	Die Verbindung	Die Verbindungen 
857. Trick	Der Trick	Die Tricks 
858. Mystery	Das Geheimnis	Die Geheimnisse 
859. Period	Die Periode	Die Perioden 
860. Writing	Die Schrift	Die Schriften 
861. Horror	Der Horror	- 
862. Candy	Die Süßigkeiten	- 
863. Bitch	Die Hündin	Die Hündinnen 
864. Health	Die Gesundheit	- 
865. Manager	Der Manager	Die Manager 
866. Safety	Die Sicherheit	- 
867. Height	Die Höhe	Die Höhen 
868. Appearance	Das Aussehen	- 
869. Sigh	Der Seufzer	Die Seufzer 
870. Mine	Die Mine	Die Minen 
871. Cloth	Der Stoff	Die Stoffe 
872. Reaction	Die Reaktion	Die Reaktionen 
873. Source	Die Quelle	Die Quellen 
874. Self	Das Selbst	- 
875. Pistol	Die Pistole	Die Pistolen 
876. Airport	Der Flughafen	Die Flughäfen 
877. Hero	Der Held	Die Helden 
878. Promise	Das Versprechen	Die Versprechen 
879. Bow	Der Bogen	Die Bögen 
880. Tent	Das Zelt	Die Zelte 
881. Booth	Der Stand	Die Stände 
882. Cash	Das Bargeld	- 
883. Avenue	Die Allee	Die Alleen 
884. TShirt	Das T-Shirt	Die T-Shirts 
885. Carpet	Der Teppich	Die Teppiche 
886. Basement	Der Keller	Die Keller 
887. Girlfriend	Die Freundin	Die Freundinnen 
888. Beard	Der Bart	Die Bärte 
889. Brow	Die Augenbraue	Die Augenbrauen 
890. Display	Der Bildschirm	Die Bildschirme 
891. Signal	Das Signal	Die Signale 
892. Servant	Der Diener	Die Diener 
893. Whisper	Das Flüstern	Die Flüster 
894. Doubt	Der Zweifel	Die Zweifel 
895. Account	Das Konto	Die Konten 
896. Magic	Die Magie	- 
897. Hank	Der Klumpen	Die Klumpen 
898. Limb	Das Glied	Die Glieder 
899. Bastard	Der Bastard	Die Bastarde 
900. Skull	Der Schädel	Die Schädel 
901. Sentence	Der Satz	Die Sätze 
902. Collar	Der Kragen	Die Kragen 
903. Horn	Das Horn	Die Hörner 
904. Oak	Die Eiche	Die Eichen 
905. Ankle	Der Knöchel	Die Knöchel 
906. Doll	Die Puppe	Die Puppen 
907. Sandwich	Das Sandwich	Die Sandwiches 
908. Robin	Der Rotkehlchen	Die Rotkehlchen 
909. Justice	Die Gerechtigkeit	- 
910. Pride	Der Stolz	- 
911. Youth	Die Jugend	- 
912. Secretary	Der Sekretär	Die Sekretäre 
913. Research	Die Forschung	- 
914. Sport	Der Sport	Die Sportarten 
915. Task	Die Aufgabe	Die Aufgaben 
916. Grant	Das Stipendium	Die Stipendien 
917. Sheriff	Der Sheriff	Die Sheriffs 
918. Midnight	Die Mitternacht	- 
919. Chip	Der Chip	Die Chips 
920. Theory	Die Theorie	Die Theorien 
921. Alarm	Der Alarm	Die Alarme 
922. Collection	Die Sammlung	Die Sammlungen 
923. Cross	Das Kreuz	Die Kreuze 
924. Pine	Die Kiefer	Die Kiefern 
925. Generation	Die Generation	Die Generationen 
926. Authority	Die Autorität	Die Autoritäten 
927. Papa	Der Papa	Die Papas 
928. Journey	Die Reise	Die Reisen 
929. Pearl	Die Perle	Die Perlen 
930. Toilet	Die Toilette	Die Toiletten 
931. Killer	Der Mörder	Die Mörder 
932. Tool	Das Werkzeug	Die Werkzeuge 
933. Medicine	Die Medizin	Die Medizinen 
934. Sugar	Der Zucker	- 
935. Princess	Die Prinzessin	Die Prinzessinnen 
936. Argument	Das Argument	Die Argumente 
937. Cliff	Die Klippe	Die Klippen 
938. Cart	Der Wagen	Die Wagen 
939. Crystal	Der Kristall	Die Kristalle 
940. Bean	Die Bohne	Die Bohnen 
941. Cage	Der Käfig	Die Käfige 
942. Chocolate	Die Schokolade	- 
943. Coast	Die Küste	Die Küsten 
944. Decade	Das Jahrzehnt	Die Jahrzehnte 
945. Meaning	Die Bedeutung	Die Bedeutungen 
946. Gear	Das Getriebe	Die Getriebe 
947. Suitcase	Der Koffer	Die Koffer 
948. Operation	Die Operation	Die Operationen 
949. Breathing	Das Atmen	- 
950. Role	Die Rolle	Die Rollen 
951. Version	Die Version	Die Versionen 
952. Prisoner	Der Gefangene	Die Gefangenen 
953. Match	Das Spiel	Die Spiele 
954. Beam	Der Strahl	Die Strahlen 
955. Castle	Das Schloss	Die Schlösser 
956. Rush	Der Rausch	Die Räusche 
957. Lane	Die Fahrspur	Die Fahrspuren 
958. Clothing	Die Kleidung	- 
959. Pole	Der Pfahl	Die Pfähle 
960. Freedom	Die Freiheit	- 
961. Skill	Die Fähigkeit	Die Fähigkeiten 
962. Passion	Die Leidenschaft	Die Leidenschaften 
963. Activity	Die Aktivität	Die Aktivitäten 
964. Fuck	Der Fick	Die Ficks 
965. Platform	Die Plattform	Die Plattformen 
966. Salt	Das Salz	- 
967. Bike	Das Fahrrad	Die Fahrräder 
968. Stack	Der Stapel	Die Stapel 
969. Companion	Der Begleiter	Die Begleiter 
970. Fate	Das Schicksal	- 
971. Rage	Die Wut	Die Wut 
972. Supply	Die Versorgung	Die Versorgungen 
973. Whale	Der Wal	Die Wale 
974. Pig	Das Schwein	Die Schweine 
975. Rabbit	Das Kaninchen	Die Kaninchen 
976. Aisle	Der Gang	Die Gänge 
977. Monitor	Der Monitor	Die Monitore 
978. Helmet	Der Helm	Die Helme 
979. Respect	Der Respekt	- 
980. Excitement	Die Aufregung	- 
981. Lobby	Die Lobby	Die Lobbys 
982. Boyfriend	Der Freund	Die Freunde 
983. Fur	Der Pelz	Die Felle 
984. Range	Die Bandbreite	Die Bandbreiten 
985. Dick	Der Schwanz	Die Schwänze 
986. Code	Der Code	Die Codes 
987. Chapter	Das Kapitel	Die Kapitel 
988. Reflection	Die Reflexion	Die Reflexionen 
989. Mail	Die Post	Die Mails 
990. Fly	Die Fliege	Die Fliegen 
991. Cabinet	Der Schrank	Die Schränke 
992. Toy	Das Spielzeug	Die Spielzeuge 
993. Baseball	Der Baseball	Die Baseballs 
994. Inside	Das Innere	- 
995. Pace	Das Tempo	- 
996. Handle	Der Griff	Die Griffe 
997. Lead	Das Blei	- 
998. Amount	Die Menge	Die Mengen 
999. Nerve	Der Nerv	Die Nerven 
1000. Terror	Der Terror	- 
1001. Sweater	Der Pullover	Die Pullover
1002. Quality	Die Qualität	Die Qualitäten
1003. Hunter	Der Jäger	Die Jäger
1004. Paint	Die Farbe	Die Farben
1005. Buster	Der Zerstörer	Die Zerstörer
1006. Cotton	Die Baumwolle	- 
1007. Sergeant	Der Feldwebel	Die Feldwebel
1008. Credit	Der Kredit	Die Kredite
1009. Blow	Der Schlag	Die Schläge
1010. Devil	Der Teufel	Die Teufel
1011. Threat	Die Bedrohung	Die Bedrohungen
1012. Success	Der Erfolg	Die Erfolge
1013. Eve	Der Abend	Die Abende
1014. Cable	Das Kabel	Die Kabel
1015. Pan	Die Pfanne	Die Pfannen
1016. Clerk	Der Angestellte	Die Angestellten
1017. Title	Der Titel	Die Titel
1018. Meter	Der Meter	Die Meter
1019. Shame	Die Schande	- 
1020. Needle	Die Nadel	Die Nadeln
1021. Lung	Die Lunge	Die Lungen
1022. Warrior	Der Krieger	Die Krieger
1023. Circumstance	Die Umstände	- 
1024. Studio	Das Studio	Die Studios
1025. Panic	Die Panik	- 
1026. Lack	Der Mangel	- 
1027. Farmer	Der Bauer	Die Bauern
1028. Accent	Der Akzent	Die Akzente
1029. Bomb	Die Bombe	Die Bomben
1030. Panel	Das Panel	Die Panels
1031. Ability	Die Fähigkeit	Die Fähigkeiten
1032. Fortune	Das Glück	- 
1033. Victor	Der Sieger	Die Sieger
1034. Feather	Die Feder	Die Federn
1035. Grandma	Die Oma	Die Omas
1036. Glow	Das Leuchten	Die Leuchten
1037. Behavior	Das Verhalten	- 
1038. Passage	Der Durchgang	Die Durchgänge
1039. Slave	Der Sklave	Die Sklaven
1040. Lieutenant	Der Leutnant	Die Leutnants
1041. Barrel	Das Fass	Die Fässer
1042. Warmth	Die Wärme	- 
1043. Impression	Der Eindruck	Die Eindrücke
1044. Mason	Der Maurer	Die Maurer
1045. Bride	Die Braut	Die Bräute
1046. Package	Das Paket	Die Pakete
1047. Fog	Der Nebel	- 
1048. Walking	Das Gehen	- 
1049. Balance	Das Gleichgewicht	- 
1050. Sock	Die Socke	Die Socken
1051. Robot	Der Roboter	Die Roboter
1052. Potato	Die Kartoffel	Die Kartoffeln
1053. Item	Der Gegenstand	Die Gegenstände
1054. Bath	Das Bad	Die Bäder
1055. Diamond	Der Diamant	Die Diamanten
1056. Corpse	Die Leiche	Die Leichen
1057. Explanation	Die Erklärung	Die Erklärungen
1058. Structure	Die Struktur	Die Strukturen
1059. Exit	Der Ausgang	Die Ausgänge
1060. Pad	Das Kissen	Die Kissen
1061. Stove	Der Herd	Die Herde
1062. Blue	Das Blau	- 
1063. American	Der Amerikaner	Die Amerikaner
1064. Ruby	Der Rubin	Die Rubine
1065. Lightning	Das Blitz	Die Blitze
1066. Pit	Die Grube	Die Gruben
1067. Colonel	Der Oberst	Die Obersten
1068. Dock	Der Hafen	Die Häfen
1069. Creek	Der Bach	Die Bäche
1070. Advice	Der Rat	Die Ratschläge
1071. Tourist	Der Tourist	Die Touristen
1072. Grief	Die Trauer	- 
1073. Defense	Die Verteidigung	- 
1074. Bite	Der Biss	Die Bisse
1075. Museum	Das Museum	Die Museen
1076. Favor	Der Gefallen	Die Gefallen
1077. Supper	Das Abendessen	- 
1078. Comfort	Der Komfort	- 
1079. Dean	Der Dekan	- 
1080. Value	Der Wert	Die Werte
1081. March	Der Marsch	Die Märsche
1082. Estate	Das Anwesen	Die Anwesen
1083. Poet	Der Dichter	Die Dichter
1084. Palace	Der Palast	Die Paläste
1085. Soup	Die Suppe	Die Suppen
1086. Nation	Die Nation	Die Nationen
1087. Jar	Das Glas	Die Gläser
1088. Standing	Der Stand	- 
1089. Sack	Der Sack	Die Säcke
1090. Demon	Der Dämon	Die Dämonen
1091. Conference	Die Konferenz	Die Konferenzen
1092. Juice	Der Saft	Die Säfte
1093. Responsibility	Die Verantwortung	- 
1094. Brush	Die Bürste	Die Bürsten
1095. Route	Die Route	Die Routen
1096. Cheese	Der Käse	Die Käse
1097. Hood	Die Motorhaube	Die Motorhauben
1098. Duck	Die Ente	Die Enten
1099. Saint	Der Heilige	Die Heiligen
1100. Pass	Der Pass	Die Pässe
1101. Target	Das Ziel	Die Ziele
1102. Orange	Die Orange	Die Orangen
1103. Culture	Die Kultur	Die Kulturen
1104. Tour	Die Tour	Die Touren
1105. Commander	Der Kommandant	Die Kommandanten
1106. Hook	Der Haken	Die Haken
1107. Mist	Der Nebel	- 
1108. Training	Das Training	Die Trainings
1109. Search	Die Suche	Die Suchen
1110. Coin	Die Münze	Die Münzen
1111. Miracle	Das Wunder	Die Wunder
1112. Advantage	Der Vorteil	Die Vorteile
1113. Exchange	Der Austausch	Die Austausche
1114. Fiction	Die Fiktion	- 
1115. Pond	Der Teich	Die Teiche
1116. Assistant	Der Assistent	Die Assistenten
1117. Design	Das Design	Die Designs
1118. Fishing	Das Angeln	- 
1119. Slope	Der Hang	Die Hänge
1120. Earl	Der Graf	Die Grafen
1121. Comment	Der Kommentar	Die Kommentare
1122. Waiter	Der Kellner	Die Kellner
1123. Grocery	Der Lebensmittel	Die Lebensmittel
1124. Ladder	Die Leiter	Die Leitern
1125. Curve	Die Kurve	Die Kurven
1126. Volume	Das Volumen	Die Volumina
1127. Risk	Das Risiko	Die Risiken
1128. Nightmare	Der Albtraum	Die Albträume
1129. Existence	Die Existenz	- 
1130. Trace	Die Spur	Die Spuren
1131. Disease	Die Krankheit	Die Krankheiten
1132. Support	Die Unterstützung	- 
1133. Witness	Der Zeuge	Die Zeugen
1134. Stock	Der Bestand	Die Bestände
1135. Device	Das Gerät	Die Geräte
1136. Landscape	Die Landschaft	Die Landschaften
1137. Holiday	Der Feiertag	Die Feiertage
1138. Ace	Das Ass	Die Asse
1139. Piano	Das Klavier	Die Klaviere
1140. Gut	Der Darm	- 
1141. Talent	Das Talent	Die Talente
1142. Imagination	Die Fantasie	- 
1143. Black	Das Schwarz	- 
1144. Reed	Der Rohrkolben	Die Rohrkolben
1145. Lid	Der Deckel	Die Deckel
1146. Hint	Der Hinweis	Die Hinweise
1147. Walker	Der Spaziergänger	Die Spaziergänger
1148. Chill	Das Schaudern	- 
1149. Trial	Der Prozess	Die Prozesse
1150. Interview	Das Interview	Die Interviews
1151. Approach	Der Ansatz	Die Ansätze
1152. Scar	Die Narbe	Die Narben
1153. Fashion	Die Mode	- 
1154. Channel	Der Kanal	Die Kanäle
1155. Footstep	Der Fußabdruck	Die Fußabdrücke
1156. Pickup	Der Pick-up	Die Pick-ups
1157. Hawk	Der Habicht	Die Habichte
1158. Trailer	Der Anhänger	Die Anhänger
1159. Statue	Die Statue	Die Statuen
1160. Pill	Die Pille	Die Pillen
1161. Bug	Der Käfer	Die Käfer
1162. Bucket	Der Eimer	Die Eimer
1163. Vacation	Der Urlaub	Die Urlaube
1164. Species	Die Art	Die Arten
1165. Column	Die Säule	Die Säulen
1166. Damage	Der Schaden	- 
1167. Instrument	Das Instrument	Die Instrumente
1168. Port	Der Hafen	Die Häfen
1169. Layer	Die Schicht	Die Schichten
1170. Strip	Der Streifen	Die Streifen
1171. Garbage	Der Müll	- 
1172. Rib	Die Rippe	Die Rippen
1173. Notebook	Das Notizbuch	Die Notizbücher
1174. Corn	Der Mais	- 
1175. Offer	Das Angebot	Die Angebote
1176. Drawing	Die Zeichnung	Die Zeichnungen
1177. Statement	Die Aussage	Die Aussagen
1178. Intelligence	Die Intelligenz	- 
1179. Excuse	Die Entschuldigung	Die Entschuldigungen
1180. Landing	Die Landung	Die Landungen
1181. Copyright	Das Urheberrecht	- 
1182. Rod	Die Stange	Die Stangen
1183. Fantasy	Die Fantasie	Die Fantasien
1184. Curiosity	Die Neugierde	- 
1185. Gown	Das Gewand	Die Gewänder
1186. Border	Die Grenze	Die Grenzen
1187. Poetry	Die Poesie	- 
1188. Firm	Die Firma	Die Firmen
1189. Rise	Der Anstieg	Die Anstiege
1190. Handful	Die Handvoll	Die Handvoll
1191. China	Das Porzellan	- 
1192. French	Der Franzose	Die Franzosen
1193. Mean	Der Durchschnitt	Die Durchschnitte
1194. Deer	Das Reh	Die Rehe
1195. Print	Der Druck	Die Drucke
1196. Rail	Die Schiene	Die Schienen
1197. Rate	Der Tarif	Die Tarife
1198. Courage	Der Mut	- 
1199. Arrival	Die Ankunft	Die Ankünfte
1200. Wish	Der Wunsch	Die Wünsche
1201. Ridge	Der Bergrücken	Die Bergrücken
1202. Idiot	Der Idiot	Die Idioten
1203. Bull	Der Stier	Die Stiere
1204. Seed	Der Samen	Die Samen
1205. Progress	Der Fortschritt	- 
1206. Feel	Das Gefühl	Die Gefühle
1207. Shorts	Die kurze Hose	Die kurze Hosen
1208. Citizen	Der Bürger	Die Bürger
1209. Trash	Der Müll	- 
1210. Log	Der Baumstamm	Die Baumstämme
1211. Patience	Die Geduld	- 
1212. Bat	Die Fledermaus	Die Fledermäuse
1213. Football	Der Fußball	Die Fußbälle
1214. Routine	Die Routine	Die Routinen
1215. Explosion	Die Explosion	Die Explosionen
1216. Content	Der Inhalt	Die Inhalte
1217. Scientist	Der Wissenschaftler	Die Wissenschaftler
1218. Failure	Das Versagen	Die Versagen
1219. Sin	Die Sünde	Die Sünden
1220. Butt	Der Hintern	Die Hintern
1221. Confusion	Die Verwirrung	- 
1222. Understanding	Das Verständnis	- 
1223. Trade	Der Handel	Die Handel
1224. Refrigerator	Der Kühlschrank	Die Kühlschränke
1225. Mister	Der Herr	Die Herren
1226. Flashlight	Die Taschenlampe	Die Taschenlampen
1227. Net	Das Netz	Die Netze
1228. Sailor	Der Matrose	Die Matrosen
1229. Attitude	Die Einstellung	Die Einstellungen
1230. Guilt	Die Schuld	- 
1231. Crying	Das Weinen	- 
1232. Sip	Der Schluck	Die Schlucke
1233. Travel	Das Reisen	Die Reisen
1234. Cookie	Der Keks	Die Kekse
1235. Escape	Die Flucht	Die Fluchten
1236. Instruction	Die Anweisung	Die Anweisungen
1237. Fabric	Der Stoff	Die Stoffe
1238. Marble	Der Marmor	Die Marmore
1239. Glimpse	Der Blick	Die Blicke
1240. Dusk	Die Dämmerung	- 
1241. Cottage	Die Hütte	Die Hütten
1242. Monkey	Der Affe	Die Affen
1243. Makeup	Das Make-up	- 
1244. Doc	Der Arzt	Die Ärzte
1245. Blouse	Die Bluse	Die Blusen
1246. Rhythm	Der Rhythmus	Die Rhythmen
1247. Steam	Der Dampf	- 
1248. Phrase	Die Phrase	Die Phrasen
1249. Nut	Die Mutter	Die Muttern
1250. Pencil	Der Bleistift	Die Bleistifte
1251. Cook	Der Koch	Die Köche
1252. Flag	Die Flagge	Die Flaggen
1253. Coach	Der Trainer	Die Trainer
1254. Swing	Der Schwung	Die Schwünge
1255. Speaker	Der Lautsprecher	Die Lautsprecher
1256. Bolt	Der Bolzen	Die Bolzen
1257. Fat	Das Fett	Die Fette
1258. Rug	Der Teppich	Die Teppiche
1259. Knock	Das Klopfen	- 
1260. Spell	Der Zauber	Die Zauber
1261. Taxi	Das Taxi	Die Taxis
1262. Round	Die Runde	Die Runden
1263. Straw	Der Strohhalm	Die Strohhalme
1264. Hatch	Die Luke	Die Luken
1265. Fork	Die Gabel	Die Gabeln
1266. Evil	Das Böse	- 
1267. Maid	Die Dienstmädchen	- 
1268. Relative	Der Verwandte	Die Verwandten
1269. Witch	Die Hexe	Die Hexen
1270. Courtyard	Der Innenhof	Die Innenhöfe
1271. Sensation	Die Sensation	Die Sensationen
1272. Bubble	Die Blase	Die Blasen
1273. Reader	Der Leser	Die Leser
1274. Curl	Die Locke	Die Locken
1275. Pie	Der Kuchen	Die Kuchen
1276. Jet	Das Düsenflugzeug	Die Düsenflugzeuge
1277. Shift	Die Schicht	Die Schichten
1278. Union	Die Union	Die Unionen
1279. Teenager	Der Teenager	Die Teenager
1280. Plain	Die Ebene	Die Ebenen
1281. Waitress	Die Kellnerin	Die Kellnerinnen
1282. Reply	Die Antwort	Die Antworten
1283. Rumor	Das Gerücht	Die Gerüchte
1284. Gravity	Die Schwerkraft	- 
1285. Shelter	Das Schutz	Die Schutz 
1286. Adventure	Das Abenteuer	Die Abenteuer
1287. Lion	Der Löwe	Die Löwen
1288. Spine	Die Wirbelsäule	Die Wirbelsäulen
1289. Confidence	Das Vertrauen	Die Vertrauen
1290. Depth	Die Tiefe	Die Tiefen
1291. Reach	Die Reichweite	Die Reichweiten
1292. Hammer	Der Hammer	Die Hämmer
1293. Bible	Die Bibel	Die Bibeln
1294. Contract	Der Vertrag	Die Verträge
1295. Wallet	Die Brieftasche	Die Brieftaschen
1296. Jungle	Der Dschungel	Die Dschungel
1297. Factory	Die Fabrik	Die Fabriken
1298. Indian	Der Indianer	Die Indianer
1299. Balcony	Der Balkon	Die Balkone
1300. Rice	Der Reis	- 
1301. Knot	Der Knoten	Die Knoten
1302. Cord	Das Kabel	Die Kabel
1303. Colleague	Der Kollege	Die Kollegen
1304. Intention	Die Absicht	Die Absichten
1305. Stare	Der starren	- 
1306. Motel	Das Motel	Die Motels
1307. Attorney	Der Anwalt	Die Anwälte
1308. Darling	Der Liebling	Die Lieblinge
1309. Discussion	Die Diskussion	Die Diskussionen
1310. Atmosphere	Die Atmosphäre	Die Atmosphären
1311. Performance	Die Aufführung	Die Aufführungen
1312. Tension	Die Spannung	Die Spannungen
1313. Text	Der Text	Die Texte
1314. Strand	Der Strand	Die Strände
1315. Noon	Der Mittag	- 
1316. Vein	Die Ader	Die Adern
1317. Expert	Der Experte	Die Experten
1318. Gang	Die Bande	Die Banden
1319. Policeman	Der Polizist	Die Polizisten
1320. Cancer	Der Krebs	- 
1321. Fox	Der Fuchs	Die Füchse
1322. Divorce	Die Scheidung	Die Scheidungen
1323. Pulse	Der Puls	Die Pulse
1324. Absence	Die Abwesenheit	- 
1325. Violence	Die Gewalt	- 
1326. Humor	Der Humor	- 
1327. Stool	Der Hocker	Die Hocker
1328. Gravel	Der Kies	- 
1329. Treasure	Der Schatz	Die Schätze
1330. Butter	Die Butter	- 
1331. Switch	Der Schalter	Die Schalter
1332. Cigar	Die Zigarre	Die Zigarren
1333. Canvas	Die Leinwand	Die Leinwände
1334. Happiness	Das Glück	- 
1335. Guide	Der Führer	Die Führer
1336. Pin	Die Stecknadel	Die Stecknadeln
1337. Actor	Der Schauspieler	Die Schauspieler
1338. Whole	Das Ganze	- 
1339. Arrangement	Die Anordnung	Die Anordnungen
1340. Brown	Das Braun	- 
1341. Host	Der Gastgeber	Die Gastgeber
1342. Ribbon	Das Band	Die Bänder
1343. Scarf	Der Schal	Die Schals
1344. Scale	Die Skala	Die Skalen
1345. Proof	Der Beweis	Die Beweise
1346. Arrow	Der Pfeil	Die Pfeile
1347. Temperature	Die Temperatur	Die Temperaturen
1348. Technology	Die Technologie	Die Technologien
1349. Permission	Die Erlaubnis	Die Erlaubnisse
1350. Location	Der Standort	Die Standorte
1351. Claw	Die Klaue	Die Klauen
1352. Cowboy	Der Cowboy	Die Cowboys
1353. Agency	Die Agentur	Die Agenturen
1354. Construction	Der Bau	- 
1355. Hunting	Die Jagd	- 
1356. Vegetable	Das Gemüse	Die Gemüse
1357. Tin	Die Konservendose	Die Konservendosen
1358. Helicopter	Der Hubschrauber	Die Hubschrauber
1359. Trap	Die Falle	Die Fallen
1360. Pat	Der Schlag	- 
1361. Gap	Die Lücke	Die Lücken
1362. Pet	Das Haustier	Die Haustiere
1363. Education	Das Bildung	- 
1364. Shopping	Die Einkauf	Die Einkäufe
1365. Shed	Der Schuppen	Die Schuppen
1366. Agreement	Die Vereinbarung	Die Vereinbarungen
1367. Soil	Der Boden	- 
1368. Duke	Der Herzog	Die Herzog
1369. Shotgun	Das Schrotflinte	Die Schrotflinten
1370. Notion	Die Idee	Die Ideen
1371. Rear	Das Heck	- 
1372. Ceremony	Die Zeremonie	Die Zeremonien
1373. Spoon	Der Löffel	Die Löffel
1374. Tub	Die Badewanne	Die Badewannen
